Year,Month,Weekday,State,NumOfAccidents
2016,6,Monday,AL,3
2016,6,Monday,AZ,20
2016,6,Monday,CA,2294
2016,6,Monday,CO,12
2016,6,Monday,CT,51
2016,6,Monday,DC,6
2016,6,Monday,DE,5
2016,6,Monday,FL,215
2016,6,Monday,GA,101
2016,6,Monday,IA,29
2016,6,Monday,ID,1
2016,6,Monday,IL,117
2016,6,Monday,IN,12
2016,6,Monday,KS,8
2016,6,Monday,KY,9
2016,6,Monday,LA,5
2016,6,Monday,MA,34
2016,6,Monday,MD,28
2016,6,Monday,MI,111
2016,6,Monday,MN,18
2016,6,Monday,MO,28
2016,6,Monday,MS,7
2016,6,Monday,MT,1
2016,6,Monday,NC,74
2016,6,Monday,NE,101
2016,6,Monday,NH,2
2016,6,Monday,NJ,95
2016,6,Monday,NV,13
2016,6,Monday,NY,252
2016,6,Monday,OH,166
2016,6,Monday,OK,1
2016,6,Monday,OR,3
2016,6,Monday,PA,134
2016,6,Monday,RI,22
2016,6,Monday,SC,9
2016,6,Monday,TN,19
2016,6,Monday,TX,283
2016,6,Monday,UT,23
2016,6,Monday,VA,35
2016,6,Monday,WA,74
2016,6,Monday,WI,14
2016,6,Saturday,AL,1
2016,6,Saturday,AZ,7
2016,6,Saturday,CA,1036
2016,6,Saturday,CO,4
2016,6,Saturday,CT,10
2016,6,Saturday,DE,4
2016,6,Saturday,FL,48
2016,6,Saturday,GA,39
2016,6,Saturday,IA,11
2016,6,Saturday,ID,3
2016,6,Saturday,IL,22
2016,6,Saturday,IN,7
2016,6,Saturday,KS,5
2016,6,Saturday,KY,7
2016,6,Saturday,LA,1
2016,6,Saturday,MA,4
2016,6,Saturday,MD,27
2016,6,Saturday,MI,18
2016,6,Saturday,MN,1
2016,6,Saturday,MO,6
2016,6,Saturday,MS,1
2016,6,Saturday,NC,3
2016,6,Saturday,NE,17
2016,6,Saturday,NH,1
2016,6,Saturday,NJ,21
2016,6,Saturday,NV,6
2016,6,Saturday,NY,80
2016,6,Saturday,OH,29
2016,6,Saturday,OR,2
2016,6,Saturday,PA,15
2016,6,Saturday,RI,1
2016,6,Saturday,SC,2
2016,6,Saturday,TN,1
2016,6,Saturday,TX,35
2016,6,Saturday,UT,4
2016,6,Saturday,VA,5
2016,6,Saturday,WA,14
